"type","language","license","rightsHolder","ownerInstitutionCode","eventID","samplingProtocol","sampleSizeValue","sampleSizeUnit","eventDate","eventTime","continent","country","countryCode","county","locality","decimalLatitude","decimalLongitude","dynamicProperties"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","2020-05-01_1000","transect count",30,"minutes","2020-05-01","10:00/10:30","Africa","Kenya","KE","Kilifi","Watamu",-3.378178,39.988888,"{weather: ""NA"", u10: ""1.26676375806792"", v10: ""5.04458692346332"", sp: ""101165.052878575"", tcc: ""0.990396695812288"", tp: ""0.000449117309549512"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","2020-05-01_1300","transect count",33,"minutes","2020-05-01","13:00/13:33","Africa","Kenya","KE","Kilifi","Watamu",-3.378178,39.988888,"{weather: ""NA"", u10: ""-0.0636937642340136"", v10: ""6.12066230760392"", sp: ""100940.510148608"", tcc: ""0.997352478903758"", tp: ""0.000334689434369734"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","2020-05-01_1530","transect count",30,"minutes","2020-05-01","15:30/16:00","Africa","Kenya","KE","Kilifi","Watamu",-3.378178,39.988888,"{weather: ""NA"", u10: ""1.12779962256683"", v10: ""5.99369639453029"", sp: ""100860.470395163"", tcc: ""0.94891123556071"", tp: ""0.000346384738397518"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","2020-05-02_1000","transect count",40,"minutes","2020-05-02","10:00/10:40","Africa","Kenya","KE","Kilifi","Watamu",-3.378178,39.988888,"{weather: ""NA"", u10: ""1.61066422402887"", v10: ""6.76615120920469"", sp: ""101030.134142023"", tcc: ""0.4247614009566"", tp: ""0.000144405924826019"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","2020-05-02_1300","transect count",35,"minutes","2020-05-02","13:00/13:35","Africa","Kenya","KE","Kilifi","Watamu",-3.378178,39.988888,"{weather: ""NA"", u10: ""1.00257596836921"", v10: ""7.6583726598907"", sp: ""100777.55940908"", tcc: ""0.2647432082564"", tp: ""4.1296580030739e-05"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","2020-05-02_1530","transect count",30,"minutes","2020-05-02","15:30/16:00","Africa","Kenya","KE","Kilifi","Watamu",-3.378178,39.988888,"{weather: ""NA"", u10: ""0.48576117220394"", v10: ""7.60029255632402"", sp: ""100715.422545226"", tcc: ""0.245429783467872"", tp: ""3.85809957220734e-05"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","2020-05-03_1000","transect count",37,"minutes","2020-05-03","10:00/10:37","Africa","Kenya","KE","Kilifi","Watamu",-3.378178,39.988888,"{weather: ""NA"", u10: ""1.83108311755843"", v10: ""6.75226721250641"", sp: ""101006.085364223"", tcc: ""0.996477813552799"", tp: ""3.32551986547742e-05"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","2020-05-03_1300","transect count",35,"minutes","2020-05-03","13:00/13:35","Africa","Kenya","KE","Kilifi","Watamu",-3.378178,39.988888,"{weather: ""NA"", u10: ""0.754274824228816"", v10: ""7.40064502962493"", sp: ""100776.294916381"", tcc: ""0.905318058586259"", tp: ""1.14345328921e-05"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","2020-05-03_1530","transect count",34,"minutes","2020-05-03","15:30/16:04","Africa","Kenya","KE","Kilifi","Watamu",-3.378178,39.988888,"{weather: ""NA"", u10: ""0.800649996559785"", v10: ""7.92636050486683"", sp: ""100664.721382329"", tcc: ""0.514052462118322"", tp: ""5.0700287351747e-07"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","2020-05-04_1000","transect count",30,"minutes","2020-05-04","10:00/10:30","Africa","Kenya","KE","Kilifi","Watamu",-3.378178,39.988888,"{weather: ""NA"", u10: ""1.31176613978666"", v10: ""7.55407292597205"", sp: ""101014.327983293"", tcc: ""0.263841626864837"", tp: ""7.38038595529453e-05"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","2020-05-04_1300","transect count",35,"minutes","2020-05-04","13:00/13:35","Africa","Kenya","KE","Kilifi","Watamu",-3.378178,39.988888,"{weather: ""NA"", u10: ""0.874208518876413"", v10: ""7.81177792174695"", sp: ""100783.019119741"", tcc: ""0.158387123027075"", tp: ""3.61233684720897e-05"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","2020-05-04_1530","transect count",30,"minutes","2020-05-04","15:30/16:00","Africa","Kenya","KE","Kilifi","Watamu",-3.378178,39.988888,"{weather: ""NA"", u10: ""0.438025784441923"", v10: ""8.03467107056724"", sp: ""100700.123500756"", tcc: ""0.251018570796393"", tp: ""6.83539304222588e-05"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","2020-05-05_1000","transect count",36,"minutes","2020-05-05","10:00/10:36","Africa","Kenya","KE","Kilifi","Watamu",-3.378178,39.988888,"{weather: ""NA"", u10: ""1.2517808488638"", v10: ""6.46943717738526"", sp: ""101048.246243686"", tcc: ""0.998822984857502"", tp: ""0.00153804691878527"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","2020-05-05_1300","transect count",30,"minutes","2020-05-05","13:00/13:30","Africa","Kenya","KE","Kilifi","Watamu",-3.378178,39.988888,"{weather: ""NA"", u10: ""1.98346525082782"", v10: ""7.11104803621735"", sp: ""100814.24396678"", tcc: ""1"", tp: ""0.000815800923401103"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","2020-05-05_1520","transect count",42,"minutes","2020-05-05","15:20/16:02","Africa","Kenya","KE","Kilifi","Watamu",-3.378178,39.988888,"{weather: ""NA"", u10: ""1.97810570860859"", v10: ""6.73308033183932"", sp: ""100727.783565059"", tcc: ""0.992910346695558"", tp: ""0.000339109294063824"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","2020-05-06_1000","transect count",32,"minutes","2020-05-06","10:00/10:32","Africa","Kenya","KE","Kilifi","Watamu",-3.378178,39.988888,"{weather: ""NA"", u10: ""1.86316044861115"", v10: ""5.67606205728483"", sp: ""101067.913203038"", tcc: ""1"", tp: ""0.00200919094706919"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","2020-05-06_1300","transect count",30,"minutes","2020-05-06","13:00/13:30","Africa","Kenya","KE","Kilifi","Watamu",-3.378178,39.988888,"{weather: ""NA"", u10: ""2.02425913857807"", v10: ""6.05555645807189"", sp: ""100899.19548405"", tcc: ""1"", tp: ""0.000985658611350365"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","2020-05-06_1530","transect count",32,"minutes","2020-05-06","15:30/16:02","Africa","Kenya","KE","Kilifi","Watamu",-3.378178,39.988888,"{weather: ""NA"", u10: ""1.24916625910998"", v10: ""6.78702115288855"", sp: ""100828.325388203"", tcc: ""1"", tp: ""0.000613677380285914"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","2020-05-07_1000","transect count",32,"minutes","2020-05-07","10:00/10:32","Africa","Kenya","KE","Kilifi","Watamu",-3.378178,39.988888,"{weather: ""NA"", u10: ""1.25442331360257"", v10: ""6.49665590713677"", sp: ""101037.607528035"", tcc: ""1"", tp: ""0.0016865801565502"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","2020-05-07_1530","transect count",29,"minutes","2020-05-07","15:30/15:59","Africa","Kenya","KE","Kilifi","Watamu",-3.378178,39.988888,"{weather: ""NA"", u10: ""1.59200153736279"", v10: ""6.29395423313659"", sp: ""100774.056369151"", tcc: ""1"", tp: ""0.000791528571217674"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","2020-05-08_1000","transect count",31,"minutes","2020-05-08","10:00/10:31","Africa","Kenya","KE","Kilifi","Watamu",-3.378178,39.988888,"{weather: ""NA"", u10: ""2.29357257212604"", v10: ""8.07987365779621"", sp: ""100975.128343762"", tcc: ""1"", tp: ""0.000864524477995311"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","2020-05-08_1530","transect count",34,"minutes","2020-05-08","15:30/16:04","Africa","Kenya","KE","Kilifi","Watamu",-3.378178,39.988888,"{weather: ""NA"", u10: ""1.44668358198379"", v10: ""8.98649102191563"", sp: ""100785.278632084"", tcc: ""0.999962963952004"", tp: ""0.00147056394519569"", }"
