"basisOfRecord","eventID","occurrenceID","individualCount","taxonID","scientificName","kingdom","phylum","order","taxonRank","scientificNameAuthorship","occurrenceRemarks"
"HumanObservation","2020-05-01_1300","2020-05-01_1300_1938125",1,1938125,"Papilio demodocus","Animalia","Arthropoda","Lepidoptera","species","Esper, 1798",
"HumanObservation","2020-05-01_1300","2020-05-01_1300_1920815",5,1920815,"Eronia cleodora","Animalia","Arthropoda","Lepidoptera","species","Hübner, 1823",
"HumanObservation","2020-05-01_1300","2020-05-01_1300_1920374",3,1920374,"Colotis amatus","Animalia","Arthropoda","Lepidoptera","species","Fabricius, 1775",
"HumanObservation","2020-05-01_1300","2020-05-01_1300_1920370",10,1920370,"Colotis euippe","Animalia","Arthropoda","Lepidoptera","species","Linnaeus, 1758",
"HumanObservation","2020-05-01_1300","2020-05-01_1300_1920405",4,1920405,"Colotis auxo","Animalia","Arthropoda","Lepidoptera","species","Lucas, 1852",
"HumanObservation","2020-05-01_1300","2020-05-01_1300_1920369",3,1920369,"Colotis phisadia","Animalia","Arthropoda","Lepidoptera","species","Godart, 1819",
"HumanObservation","2020-05-01_1300","2020-05-01_1300_1920363",1,1920363,"Colotis ione","Animalia","Arthropoda","Lepidoptera","species","Godart, 1819",
"HumanObservation","2020-05-01_1300","2020-05-01_1300_5130392",1,5130392,"Junonia oenone","Animalia","Arthropoda","Lepidoptera","species","Linnaeus, 1758",
"HumanObservation","2020-05-01_1300","2020-05-01_1300_5130448",1,5130448,"Junonia natalica","Animalia","Arthropoda","Lepidoptera","species","Felder & Felder, 1860",
"HumanObservation","2020-05-01_1300","2020-05-01_1300_1932963",3,1932963,"Leptotes sp.","Animalia","Arthropoda","Lepidoptera","genus","Scudder, 1876",
"HumanObservation","2020-05-01_1300","2020-05-01_1300_1922684",1,1922684,"Axiocerses tjoane","Animalia","Arthropoda","Lepidoptera","species","Wallengren, 1857",
"HumanObservation","2020-05-01_1300","2020-05-01_1300_1942790",1,1942790,"Sarangesa phidyle","Animalia","Arthropoda","Lepidoptera","species","Walker, 1870",
"HumanObservation","2020-05-01_1300","2020-05-01_1300_5137849",1,5137849,"Eurema hecabe","Animalia","Arthropoda","Lepidoptera","species","Linnaeus, 1758",
"HumanObservation","2020-05-01_1300","2020-05-01_1300_1946647",1,1946647,"Borbo sp.","Animalia","Arthropoda","Lepidoptera","genus","Evans, 1949",
"HumanObservation","2020-05-01_1300","2020-05-01_1300_5141192",1,5141192,"Graphium philonoe","Animalia","Arthropoda","Lepidoptera","species","Ward, 1873",
"HumanObservation","2020-05-01_1300","2020-05-01_1300_1910626",1,1910626,"Hypolimnas deceptor","Animalia","Arthropoda","Lepidoptera","species","Trimen, 1873",
"HumanObservation","2020-05-01_1300","2020-05-01_1300_5135683",1,5135683,"Acraea satis","Animalia","Arthropoda","Lepidoptera","species","Ward, 1871",
"HumanObservation","2020-05-01_1300","2020-05-01_1300_1920392",3,1920392,"Colotis eucharis","Animalia","Arthropoda","Lepidoptera","species","Fabricius, 1775",
"HumanObservation","2020-05-01_1300","2020-05-01_1300_1920362",1,1920362,"Colotis danae","Animalia","Arthropoda","Lepidoptera","species","Fabricius, 1775",
"HumanObservation","2020-05-01_1000","2020-05-01_1000_1938125",1,1938125,"Papilio demodocus","Animalia","Arthropoda","Lepidoptera","species","Esper, 1798",
"HumanObservation","2020-05-01_1000","2020-05-01_1000_1920815",1,1920815,"Eronia cleodora","Animalia","Arthropoda","Lepidoptera","species","Hübner, 1823",
"HumanObservation","2020-05-01_1000","2020-05-01_1000_1919663",2,1919663,"Nepheronia buqueti","Animalia","Arthropoda","Lepidoptera","species","Boisduval, 1836",
"HumanObservation","2020-05-01_1000","2020-05-01_1000_1920370",7,1920370,"Colotis euippe","Animalia","Arthropoda","Lepidoptera","species","Linnaeus, 1758",
"HumanObservation","2020-05-01_1000","2020-05-01_1000_1920369",4,1920369,"Colotis phisadia","Animalia","Arthropoda","Lepidoptera","species","Godart, 1819",
"HumanObservation","2020-05-01_1000","2020-05-01_1000_1920363",3,1920363,"Colotis ione","Animalia","Arthropoda","Lepidoptera","species","Godart, 1819",
"HumanObservation","2020-05-01_1000","2020-05-01_1000_5130392",1,5130392,"Junonia oenone","Animalia","Arthropoda","Lepidoptera","species","Linnaeus, 1758",
